playerId,playerName,nationality,club,overall
54,Keylor Navas,Costa Rica,Real Madrid,87
55,Lorenzo Insigne,Italy,Napoli,87
56,Leroy Sané,Germany,Manchester City,86
57,Marcos  Aoás Corrêa,Brazil,Paris Saint-Germain,86
58,Milan Škriniar,Slovakia,Inter,86
59,Marco Verratti,Italy,Paris Saint-Germain,86
60,Samuel Umtiti,France,FC Barcelona,86
61,Wojciech  Szczęsny,Poland,Juventus,86
62,Joshua Kimmich,Germany,FC Bayern München,86
63,Francisco Román Alarcón Suárez,Spain,Real Madrid,86
64,Roberto Firmino Barbosa de Oliveira,Brazil,Liverpool,86
65,Ivan Rakitić,Croatia,FC Barcelona,86
66,Miralem Pjanić,Bosnia Herzegovina,Juventus,86
67,Ángel Fabián Di María Hernández,Argentina,Paris Saint-Germain,86
68,Leonardo Bonucci,Italy,Juventus,86
69,Philippe Coutinho Correia,Brazil,FC Bayern München,86
70,Daniel Parejo Muñoz,Spain,Valencia CF,86
71,Thomas Müller,Germany,FC Bayern München,86
72,Ciro Immobile,Italy,Lazio,86
73,Alexandre Lacazette,France,Arsenal,86
74,Matthijs de Ligt,Netherlands,Juventus,85
75,Gianluigi Donnarumma,Italy,Milan,85
76,Frenkie de Jong,Netherlands,FC Barcelona,85
77,Raphaël Varane,France,Real Madrid,85
78,Niklas Süle,Germany,FC Bayern München,85
79,Sergej Milinković-Savić,Serbia,Lazio,85
80,Rodrigo Hernández Cascante,Spain,Manchester City,85
81,Saúl Ñíguez Esclápez,Spain,Atlético Madrid,85
82,Fábio Henrique Tavares,Brazil,Liverpool,85
83,Andrew Robertson,Scotland,Liverpool,85
84,José María Giménez de Vargas,Uruguay,Atlético Madrid,85
85,Clément Lenglet,France,FC Barcelona,85
86,Bruno Miguel Borges Fernandes,Portugal,Sporting CP,85
87,Anthony Lopes,Portugal,Olympique Lyonnais,85
88,Péter Gulácsi,Hungary,RB Leipzig,85
89,Roman Bürki,Switzerland,Borussia Dortmund,85
90,Romelu Lukaku,Belgium,Inter,85
91,Kostas Manolas,Greece,Napoli,85
92,Norberto Murara Neto,Brazil,FC Barcelona,85
93,David Olatukunbo Alaba,Austria,FC Bayern München,85
94,Mauro Emanuel Icardi Rivero,Argentina,Inter,85
95,Daniel Carvajal Ramos,Spain,Real Madrid,85
96,Hakim Ziyech,Morocco,Ajax,85
97,Zlatan Ibrahimović,Sweden,LA Galaxy,85
98,Alejandro Darío Gómez,Argentina,Atalanta,85
99,Gonzalo Gerardo Higuaín,Argentina,Juventus,85
100,Blaise Matuidi,France,Juventus,85
101,Gareth Frank Bale,Wales,Real Madrid,85
102,Marcelo Vieira da Silva Júnior,Brazil,Real Madrid,85
103,Axel  Witsel,Belgium,Borussia Dortmund,85
104,Alex Sandro Lobo Silva,Brazil,Juventus,85
105,Iago Aspas Juncal,Spain,RC Celta,85
106,Jorge Resurrección Merodio,Spain,Atlético Madrid,85
107,James David Rodríguez Rubio,Colombia,Real Madrid,85
108,Allan Marques Loureiro,Brazil,Napoli,85
109,Jadon Sancho,England,Borussia Dortmund,84
110,Kai Havertz,Germany,Bayer 04 Leverkusen,84
111,Ousmane Dembélé,France,FC Barcelona,84
112,Kepa Arrizabalaga,Spain,Chelsea,84
113,João Pedro Cavaco Cancelo,Portugal,Manchester City,84
114,Bamidele Alli,England,Tottenham Hotspur,84
115,Lucas Hernández,France,FC Bayern München,84
116,Arthur Henrique Ramos Oliveira Melo,Brazil,FC Barcelona,84
117,Memphis Depay,Netherlands,Olympique Lyonnais,84
118,Leon Goretzka,Germany,FC Bayern München,84
119,Julian Brandt,Germany,Borussia Dortmund,84
120,Kingsley Coman,France,FC Bayern München,84
121,Serge Gnabry,Germany,FC Bayern München,84
122,Nabil Fekir,France,Real Betis,84
123,Bernd Leno,Germany,Arsenal,84
124,Luis Alberto Romero Alconchel,Spain,Lazio,84
125,Alex Nicolao Telles,Brazil,FC Porto,84
126,Jiří Pavlenka,Czech Republic,SV Werder Bremen,84
127,Stefan de Vrij,Netherlands,Inter,84
128,Felipe  Anderson Pereira Gomes,Brazil,West Ham United,84
129,Képler Laveran Lima Ferreira,Portugal,FC Porto,84
130,João Filipe Iria Santos Moutinho,Portugal,Wolverhampton Wanderers,84
131,Stéphane Ruffier,France,AS Saint-Étienne,84
132,Salvatore Sirigu,Italy,Torino,84
133,Marek Hamšík,Slovakia,Dalian YiFang FC,84
134,Sokratis Papastathopoulos,Greece,Arsenal,84
135,Lucas  Pezzini Leiva,Brazil,Lazio,84
136,Mesut Özil,Germany,Arsenal,84
137,Javier Martínez Aginaga,Spain,FC Bayern München,84
138,Yann Sommer,Switzerland,Borussia Mönchengladbach,84
139,Edin Džeko,Bosnia Herzegovina,Roma,84
140,Georginio Wijnaldum,Netherlands,Liverpool,84
141,Ivan Perišić,Croatia,FC Bayern München,84
142,Mario Mandžukić,Croatia,Juventus,84
143,Arturo Vidal,Chile,FC Barcelona,84
144,Jérôme Boateng,Germany,FC Bayern München,84
145,César Azpilicueta Tanco,Spain,Chelsea,84
146,José María Callejón Bueno,Spain,Napoli,84
147,İlkay Gündoğan,Germany,Manchester City,84
148,José Paulo Bezzera Maciel Júnior,Brazil,Guangzhou Evergrande Taobao FC,84
149,Kyle Walker,England,Manchester City,84
150,Sergio Canales Madrazo,Spain,Real Betis,84
151,Douglas Costa de Souza,Brazil,Juventus,84
152,Luís Miguel Afonso Fernandes,Portugal,SL Benfica,84
153,Dušan Tadić,Serbia,Ajax,84
154,Josip Iličić,Slovenia,Atalanta,84
155,Riyad Mahrez,Algeria,Manchester City,84
156,Edin Višća,Bosnia Herzegovina,Medipol Başakşehir FK,84
157,Felipe Augusto de Almeida Monteiro,Brazil,Atlético Madrid,84
158,Fabián Ruiz Peña,Spain,Napoli,83
159,Alessio Romagnoli,Italy,Milan,83
160,Giovani Lo Celso,Argentina,Tottenham Hotspur,83
161,Trent Alexander-Arnold,England,Liverpool,83
162,Luka Jović,Serbia,Real Madrid,83
163,Arkadiusz Milik,Poland,Napoli,83
164,Anthony Martial,France,Manchester United,83
165,Anderson Souza Conceição,Brazil,Guangzhou Evergrande Taobao FC,83
166,Jonathan Tah,Germany,Bayer 04 Leverkusen,83
167,Corentin Tolisso,France,FC Bayern München,83
168,Pau López Sabata,Spain,Roma,83
169,Gonçalo Manuel Ganchinho Guedes,Portugal,Valencia CF,83
170,Nicolas Pépé,Ivory Coast,Arsenal,83
171,Manuel Obafemi Akanji,Switzerland,Borussia Dortmund,83
172,Marcus Rashford,England,Manchester United,83
173,John Stones,England,Manchester City,83
174,Adrien Rabiot,France,Juventus,83
175,Alejandro Grimaldo García,Spain,SL Benfica,83
176,Timo Werner,Germany,RB Leipzig,83
177,Thomas Lemar,France,Atlético Madrid,83
178,Davinson Sánchez,Colombia,Tottenham Hotspur,83
179,Marco Asensio Willemsen,Spain,Real Madrid,83
180,Lucas Digne,France,Everton,83
181,Julian Draxler,Germany,Paris Saint-Germain,83
182,Jordan Pickford,England,Everton,83
183,Yannick Ferreira Carrasco,Belgium,Dalian YiFang FC,83
184,Borja Iglesias Quintas,Spain,Real Betis,83
185,Koen Casteels,Belgium,VfL Wolfsburg,83
186,Wilfried Zaha,Ivory Coast,Crystal Palace,83
187,Francisco Alcácer García,Spain,Borussia Dortmund,83
188,Álvaro Borja Morata Martín,Spain,Atlético Madrid,83
189,Sébastien Haller,France,West Ham United,83
190,William Silva de Carvalho,Portugal,Real Betis,83
191,Federico Bernardeschi,Italy,Juventus,83
192,Djené Dakonam Ortega,Togo,Getafe CF,83
193,Oscar dos Santos Emboaba Júnior,Brazil,Shanghai SIPG FC,83
194,Kevin Trapp,Germany,Eintracht Frankfurt,83
195,Marc Bartra Aregall,Spain,Real Betis,83
196,Pablo Sarabia García,Spain,Paris Saint-Germain,83
197,Jasper Cillessen,Netherlands,Valencia CF,83
198,Lucas Rodrigues M. Silva,Brazil,Tottenham Hotspur,83
199,Florian Thauvin,France,Olympique de Marseille,83
200,Luiz Frello Filho Jorge,Italy,Chelsea,83
201,Gianluigi Buffon,Italy,Juventus,83
202,Iker Casillas Fernández,Spain,FC Porto,83
203,Rune  Almenning Jarstein,Norway,Hertha BSC,83
204,Vincent Kompany,Belgium,RSC Anderlecht,83
205,Raúl Albiol Tortajada,Spain,Villarreal CF,83
206,Fabio Quagliarella,Italy,Sampdoria,83
207,Kasper Schmeichel,Denmark,Leicester City,83
208,Radamel Falcao García Zárate,Colombia,AS Monaco,83
209,João Miranda de Souza Filho,Brazil,Jiangsu Suning FC,83
210,Carlos Alberto Vela Garrido,Mexico,Los Angeles FC,83
211,Ezequiel Marcelo Garay,Argentina,Valencia CF,83
212,Rui Pedro dos Santos Patrício,Portugal,Wolverhampton Wanderers,83
213,Radja Nainggolan,Belgium,Cagliari,83
214,Éver Maximiliano David Banega,Argentina,Sevilla FC,83
215,Diego da Silva Costa,Spain,Atlético Madrid,83
216,Sami Khedira,Germany,Juventus,83
217,David Luiz Moreira Marinho,Brazil,Arsenal,83
218,Max Kruse,Germany,Fenerbahçe SK,83
219,Jordan Brian Henderson,England,Liverpool,83
220,Gylfi Þór Sigurðsson,Iceland,Everton,83
221,Aaron Ramsey,Wales,Juventus,83
222,Asier Illarramendi Andonegi,Spain,Real Sociedad,83
223,Daley Blind,Netherlands,Ajax,83
224,Lukáš Hrádecký,Finland,Bayer 04 Leverkusen,83
225,Nicolás Hernán Otamendi,Argentina,Manchester City,83
226,Juan Cuadrado,Colombia,Juventus,83
227,Idrissa Gana Gueye,Senegal,Paris Saint-Germain,83
228,Kevin Kampl,Slovenia,RB Leipzig,83
229,Rodrigo Moreno Machado,Spain,Valencia CF,83
230,Charles Mariano Aránguiz Sandoval,Chile,Bayer 04 Leverkusen,83
231,Wissam Ben Yedder,France,AS Monaco,83
232,Francesco Acerbi,Italy,Lazio,83
233,Danilo Luís Hélio Pereira,Portugal,FC Porto,83
234,Andrej Kramarić,Croatia,TSG 1899 Hoffenheim,83
235,Lourival Adnan Beretta Barbosa,Brazil,Atlético Mineiro,83
236,Josué Durval Chiamulera Vaz,Brazil,Grêmio,83
237,Ronaldo Jailson Cabrais Petri,Brazil,Grêmio,83
238,Mikel Oyarzabal Ugarte,Spain,Real Sociedad,82
239,Leon Bailey Butler,Jamaica,Bayer 04 Leverkusen,82
240,Gabriel Fernando de Jesus,Brazil,Manchester City,82
241,Mateo Kovačić,Croatia,Chelsea,82
242,Andrea Belotti,Italy,Torino,82
243,Thomas Strakosha,Albania,Lazio,82
244,Naby Keïta,Guinea,Liverpool,82
245,Lucas Torreira Di Pascua,Uruguay,Arsenal,82
246,Rúben Diogo da Silva Neves,Portugal,Wolverhampton Wanderers,82
247,Presnel Kimpembe,France,Paris Saint-Germain,82
248,Steven Bergwijn,Netherlands,PSV,82
249,André Onana,Cameroon,Ajax,82
250,Nélson Cabral Semedo,Portugal,FC Barcelona,82
251,Alphonse Areola,France,Paris Saint-Germain,82
252,Mattia Perin,Italy,Juventus,82
253,Daniele Rugani,Italy,Juventus,82
254,Ángel Correa,Argentina,Atlético Madrid,82
255,Iñaki Williams Arthuer,Spain,Athletic Club de Bilbao,82
256,Hirving Rodrigo Lozano Bahena,Mexico,PSV,82
257,Gelson Dany Batalha Martins,Portugal,AS Monaco,82
258,Benjamin Lecomte,France,AS Monaco,82
259,Thomas Partey,Ghana,Atlético Madrid,82
260,Kerem Demirbay,Germany,Bayer 04 Leverkusen,82
261,Joël Andre Job Matip,Cameroon,Liverpool,82
262,Jesús Joaquín Fernández Sáez,Spain,Milan,82
263,Stefan Savić,Montenegro,Atlético Madrid,82
264,Antonio Rüdiger,Germany,Chelsea,82
265,Fernando Pacheco Flores,Spain,Deportivo Alavés,82
266,Ricardo Barbosa Pereira,Portugal,Leicester City,82
267,Nicolás Alejandro Tagliafico,Argentina,Ajax,82
268,David Soria Solís,Spain,Getafe CF,82
269,Sergio  Asenjo Andrés,Spain,Villarreal CF,82
270,Iker Muniain Goñi,Spain,Athletic Club de Bilbao,82
271,Mario Götze,Germany,Borussia Dortmund,82
272,Thomas Delaney,Denmark,Borussia Dortmund,82
273,Oliver Baumann,Germany,TSG 1899 Hoffenheim,82
274,Willian José da Silva,Brazil,Real Sociedad,82
275,Sergio Roberto Carnicer,Spain,FC Barcelona,82
276,Nico Schulz,Germany,Borussia Dortmund,82
277,Kevin Volland,Germany,Bayer 04 Leverkusen,82
278,José Ignacio Fernández Iglesias,Spain,Real Madrid,82
279,Gabriel Armando de Abreu,Brazil,Valencia CF,82
280,Jérôme Roussillon,France,VfL Wolfsburg,82
281,Harry Maguire,England,Manchester United,82
282,Thorgan Hazard,Belgium,Borussia Dortmund,82
283,Emil Forsberg,Sweden,RB Leipzig,82
284,Filip Kostić,Serbia,Eintracht Frankfurt,82
285,Matteo Politano,Italy,Inter,82
286,Rafael Alexandre Fernandes Ferreira da Silva,Portugal,SL Benfica,82
287,José Manuel  Reina Páez,Spain,Milan,82
288,Daniele De Rossi,Italy,Boca Juniors,82
289,Aritz Aduriz Zubeldia,Spain,Athletic Club de Bilbao,82
290,Jesús Navas González,Spain,Sevilla FC,82
291,Santiago Cazorla González,Spain,Villarreal CF,82
292,Héctor Miguel Herrera López,Mexico,Atlético Madrid,82
293,Lucas Rodrigo Biglia,Argentina,Milan,82
294,Łukasz Fabiański,Poland,West Ham United,82
295,Emiliano Viviano,Italy,Sporting CP,82
296,Juan Manuel Mata García,Spain,Manchester United,82
297,Olivier Giroud,France,Chelsea,82
298,Simon Thorup Kjær,Denmark,Sevilla FC,82
299,Willian Borges da Silva,Brazil,Chelsea,82
300,Vedran Ćorluka,Croatia,Lokomotiv Moscow,82
301,Marko Arnautović,Austria,Shanghai SIPG FC,82
302,Alexis Alejandro Sánchez Sánchez,Chile,Manchester United,82
303,Giuliano Victor de Paula,Brazil,Al Nassr,82
304,Aleksandar Kolarov,Serbia,Roma,82
305,Mario  Barwuah Balotelli,Italy,Brescia,82
306,Marlos Romero Bonfim,Ukraine,Shakhtar Donetsk,82
307,Taison Barcellos Freda,Brazil,Shakhtar Donetsk,82
308,Bas Dost,Netherlands,Sporting CP,82
309,Giacomo Bonaventura,Italy,Milan,82
310,Pedro Eliezer Rodríguez Ledesma,Spain,Chelsea,82
311,Luuk de Jong,Netherlands,Sevilla FC,82
312,Stephan El Shaarawy,Italy,Shanghai Greenland Shenhua FC,82
313,Ander Herrera Agüera,Spain,Paris Saint-Germain,82
314,Xherdan Shaqiri,Switzerland,Liverpool,82
315,Mário Figueira Fernandes,Russia,PFC CSKA Moscow,82
316,Sebastián Coates Nión,Uruguay,Sporting CP,82
317,Cédric Bakambu,DR Congo,Beijing Sinobo Guoan FC,82
318,Thomas Meunier,Belgium,Paris Saint-Germain,82
319,Karim Bellarabi,Germany,Bayer 04 Leverkusen,82
320,Jesse Lingard,England,Manchester United,82
321,Quincy Anton Promes,Netherlands,Ajax,82
322,Jamie Vardy,England,Leicester City,82
323,Duván Zapata,Colombia,Atalanta,82
324,José Luis Morales Nogales,Spain,Levante UD,82
325,Raphael William Anjos Rochedo,Brazil,Grêmio,82
326,Juan Everton Mestres de Mesquita,Brazil,Cruzeiro,82
327,Rosberto J. Dourado Santos,Brazil,Atlético Mineiro,82
328,Egidio Maestre Schetino,Uruguay,Uruguay,82
329,José María Sildero,Uruguay,Uruguay,82
330,Lautaro Martínez,Argentina,Inter,81
331,Houssem Aouar,France,Olympique Lyonnais,81
332,Tanguy NDombèlé Alvaro,France,Tottenham Hotspur,81
333,Éder Gabriel Militão,Brazil,Real Madrid,81
334,Alessio Cragno,Italy,Cagliari,81
335,Donny van de Beek,Netherlands,Ajax,81
336,Victor Nilsson Lindelöf,Sweden,Manchester United,81
337,Daniel Ceballos Fernández,Spain,Arsenal,81
338,Pablo Fornals Malla,Spain,West Ham United,81
339,Emre Can,Germany,Juventus,81
340,José Luís Gayà Peña,Spain,Valencia CF,81
341,David Neres Campos,Brazil,Ajax,81
342,Piotr Zieliński,Poland,Napoli,81
343,Gerónimo Rulli,Argentina,Montpellier HSC,81
344,Granit Xhaka,Switzerland,Arsenal,81
345,Rafael Alcântara do Nascimento,Brazil,FC Barcelona,81
346,Geoffrey Kondogbia,Central African Rep.,Valencia CF,81
347,Marcel Sabitzer,Austria,RB Leipzig,81
348,Luke Shaw,England,Manchester United,81
349,Josef Alexander Martínez,Venezuela,Atlanta United,81
350,Abdoulaye Doucouré,France,Watford,81
351,Onyinye Wilfred Ndidi,Nigeria,Leicester City,81
352,Timo Horn,Germany,1. FC Köln,81
353,Willi Orban,Hungary,RB Leipzig,81
354,Alassane Plea,France,Borussia Mönchengladbach,81
355,Yussuf Yurary Poulsen,Denmark,RB Leipzig,81
356,Ryan Fraser,Scotland,Bournemouth,81
357,Matthias Ginter,Germany,Borussia Mönchengladbach,81
358,Raphaël Guerreiro,Portugal,Borussia Dortmund,81
359,João Mário Naval Costa Eduardo,Portugal,Inter,81
360,Thiago Henrique Mendes Ribeiro,Brazil,Olympique Lyonnais,81
361,Armando Izzo,Italy,Torino,81
362,Marcelo Brozović,Croatia,Inter,81
363,Adem Ljajić,Serbia,Beşiktaş JK,81
364,Jesús Corona,Mexico,FC Porto,81
365,Jordi Masip López,Spain,Real Valladolid CF,81
366,Tomáš Vaclík,Czech Republic,Sevilla FC,81
367,Luka Milivojević,Serbia,Crystal Palace,81
368,Gerard Moreno Balagueró,Spain,Villarreal CF,81
369,Wout Weghorst,Netherlands,VfL Wolfsburg,81
370,Ricardo Andrade Quaresma Bernardo,Portugal,Beşiktaş JK,81
371,Jérémy Mathieu,France,Sporting CP,81
372,James Philip Milner,England,Liverpool,81
373,Lisandro López,Argentina,Racing Club,81
374,Bafétimbi Gomis,France,Al Hilal,81
375,Moussa Sidi Yaya Dembélé,Belgium,Guangzhou R&F FC,81
376,Francesc Fàbregas i Soler,Spain,AS Monaco,81
377,Andrea Consigli,Italy,Sassuolo,81
378,Laurent Koscielny,France,FC Girondins de Bordeaux,81
379,Jardel Nivaldo Vieira,Brazil,SL Benfica,81
380,Renato  Soares de Oliveira Augusto,Brazil,Beijing Sinobo Guoan FC,81
381,José Miguel da Rocha Fonte,Portugal,LOSC Lille,81
382,José Andrés Guardado Hernández,Mexico,Real Betis,81
383,Łukasz Piszczek,Poland,Borussia Dortmund,81
384,Kévin Gameiro,France,Valencia CF,81
385,Dimitri  Payet,France,Olympique de Marseille,81
386,Beñat Etxebarria Urkiaga,Spain,Athletic Club de Bilbao,81
387,Antonio Adán Garrido,Spain,Atlético Madrid,81
388,Benedikt Höwedes,Germany,Lokomotiv Moscow,81
389,Fernando Muslera,Uruguay,Galatasaray SK,81
390,Moussa Sissoko,France,Tottenham Hotspur,81
391,Marco Parolo,Italy,Lazio,81
392,Fernando Francisco Reges,Brazil,Sevilla FC,81
393,Osvaldo Nicolás Fabián Gaitán,Argentina,Chicago Fire,81
394,Sebastian Giovinco,Italy,Al Hilal,81
395,Luiz Gustavo Dias,Brazil,Olympique de Marseille,81
396,Nicolas N'Koulou,Cameroon,Torino,81
397,Nemanja Matić,Serbia,Manchester United,81
398,Marcos Alonso Mendoza,Spain,Chelsea,81
399,Henrikh Mkhitaryan,Armenia,Arsenal,81
400,André Gomes Magalhaes de Almeida,Portugal,SL Benfica,81
401,Alessandro  Florenzi,Italy,Roma,81
402,Eran Zahavi,Israel,Guangzhou R&F FC,81
403,Franco Vázquez,Argentina,Sevilla FC,81
404,Lucas Vázquez Iglesias,Spain,Real Madrid,81
405,Daniel García Carrillo,Spain,Athletic Club de Bilbao,81
406,Marcos Javier Acuña,Argentina,Sporting CP,81
407,Laureano Thomas Santeiro Marre,Brazil,Fluminense,81
408,Jaime Nicolás Frendado,Uruguay,Uruguay,81
409,Saúl Marcelo Ardero,Uruguay,Uruguay,81
410,Luis Roberto Dálves,Uruguay,Uruguay,81
411,Segundo Mandíquez,Ecuador,Ecuador,81
412,João Félix Sequeira,Portugal,Atlético Madrid,80
413,Nicolò Barella,Italy,Inter,80
414,Joe Gomez,England,Liverpool,80
415,Andreas Christensen,Denmark,Chelsea,80
416,Mike Maignan,France,LOSC Lille,80
417,Youri Tielemans,Belgium,Leicester City,80
418,Mario Hermoso Canseco,Spain,Atlético Madrid,80
419,Carlos Soler Barragán,Spain,Valencia CF,80
420,Mattia Caldara,Italy,Milan,80
421,Harry Winks,England,Tottenham Hotspur,80
422,Krzysztof Piątek,Poland,Milan,80
423,Diogo José Teixeira da Silva,Portugal,Wolverhampton Wanderers,80
424,Marcos Llorente Moreno,Spain,Atlético Madrid,80
425,Ferland Mendy,France,Real Madrid,80
426,Óscar Melendo Jiménez,Spain,RCD Espanyol,80
427,Rúben Alves Dias,Portugal,SL Benfica,80
428,Dominik Livaković,Croatia,Dinamo Zagreb,80
429,Héctor Bellerín Moruno,Spain,Arsenal,80
430,Benjamin Mendy,France,Manchester City,80
431,Moussa Dembélé,France,Olympique Lyonnais,80
432,Odisseas Vlachodimos,Greece,SL Benfica,80
433,Santiago Mina Lorenzo,Spain,RC Celta,80
434,Marcos Paulo Mesquita Lopes,Portugal,Sevilla FC,80
435,Joaquín Correa,Argentina,Lazio,80
436,Tiémoué Bakayoko,France,Chelsea,80
437,Maximilian Eggestein,Germany,SV Werder Bremen,80
438,Álvaro Odriozola Arzalluz,Spain,Real Madrid,80
439,Maximiliano Gómez,Uruguay,Valencia CF,80
440,Sergi Darder Moll,Spain,RCD Espanyol,80
441,Kurt Happy Zouma,France,Chelsea,80
442,Leandro Paredes,Argentina,Paris Saint-Germain,80
443,Nathan Aké,Netherlands,Bournemouth,80
444,Elseid Hysaj,Albania,Napoli,80
445,André Filipe Tavares Gomes,Portugal,Everton,80
446,Keita Baldé,Senegal,AS Monaco,80
447,Julian Weigl,Germany,Borussia Dortmund,80
448,Valentin Rongier,France,FC Nantes,80
449,Yeray Álvarez López,Spain,Athletic Club de Bilbao,80
450,Lorenzo Morón García,Spain,Real Betis,80
451,Ricardo Rodríguez,Switzerland,Milan,80
452,Alex Oxlade-Chamberlain,England,Liverpool,80
453,José Ángel Gómez Campaña,Spain,Levante UD,80
454,Aïssa Mandi,Algeria,Real Betis,80
455,Gerard Deulofeu Lázaro,Spain,Watford,80
456,Juan Bernat Velasco,Spain,Paris Saint-Germain,80
457,Esteban Andrada,Argentina,Boca Juniors,80
458,Michael Keane,England,Everton,80
459,Juan Fernando Quintero,Colombia,River Plate,80
460,Samuel Castillejo Azuaga,Spain,Milan,80
461,Walter Benítez,Argentina,OGC Nice,80
462,Ante Rebić,Croatia,Eintracht Frankfurt,80
463,Eric Bailly,Ivory Coast,Manchester United,80
464,Miguel Almirón,Paraguay,Newcastle United,80
465,Manuel Lazzari,Italy,Lazio,80
466,Manuel Lanzini,Argentina,West Ham United,80
467,Jeroen Zoet,Netherlands,PSV,80
468,Mathew Ryan,Australia,Brighton & Hove Albion,80
469,Sergi Gómez Solà,Spain,Sevilla FC,80
470,Hans Vanaken,Belgium,Club Brugge KV,80
471,Martin Hinteregger,Austria,Eintracht Frankfurt,80
472,Matija Nastasić,Serbia,FC Schalke 04,80
473,Gabriel Appelt Pires,Brazil,SL Benfica,80
474,Callum Wilson,England,Bournemouth,80
475,Josuha Guilavogui,France,VfL Wolfsburg,80
476,Davy Klaassen,Netherlands,SV Werder Bremen,80
477,Pavel Kadeřábek,Czech Republic,TSG 1899 Hoffenheim,80
478,Christoph Kramer,Germany,Borussia Mönchengladbach,80
479,Íñigo Martínez Berridi,Spain,Athletic Club de Bilbao,80
480,Cristian Portugués Manzanera,Spain,Real Sociedad,80
481,Manuel Trigueros Muñoz,Spain,Villarreal CF,80
482,Hakan Çalhanoğlu,Turkey,Milan,80
483,Moanes Dabour,Israel,Sevilla FC,80
484,Marcel Halstenberg,Germany,RB Leipzig,80
485,Matias Vecino,Uruguay,Inter,80
486,Martin Dúbravka,Slovakia,Newcastle United,80
487,Marko Dmitrović,Serbia,SD Eibar,80
488,Joaquín Sánchez Rodríguez,Spain,Real Betis,80
489,Wayne Mark Rooney,England,DC United,80
490,Miguel Ángel Moyá Rumbo,Spain,Real Sociedad,80
491,Luís Carlos Almeida da Cunha,Portugal,Orlando City SC,80
492,Javier Alejandro Mascherano,Argentina,Hebei China Fortune FC,80
493,Diego López Rodríguez,Spain,RCD Espanyol,80
494,Igor Akinfeev,Russia,PFC CSKA Moscow,80
495,André-Pierre Gignac,France,Tigres U.A.N.L.,80
496,Jorge Molina Vidal,Spain,Getafe CF,80
497,Benoît Costil,France,FC Girondins de Bordeaux,80
498,Loïc Perrin,France,AS Saint-Étienne,80
499,Ben Foster,England,Watford,80
500,Tom Heaton,England,Aston Villa,80
501,Steve Mandanda,France,Olympique de Marseille,80
502,Charles Dias De Oliveira,Brazil,SD Eibar,80
